              0            4538
           0.52            2457
           1.04            1503
           1.56            1011
           2.08             820
            2.6             659
           3.12             519
           3.64             446
           4.16             382
           4.68             357
            5.2             276
           5.72             286
           6.24             273
           6.76             249
           7.28             231
            7.8             198
           8.32             165
           8.84             168
           9.36             154
           9.88             140
           10.4             120
          10.92             134
          11.44             115
          11.96             120
          12.48             107
             13             112
          13.52              85
          14.04              76
          14.56              90
          15.08              94
           15.6              88
          16.12              71
          16.64              86
          17.16              72
          17.68              68
           18.2              71
          18.72              68
          19.24              53
          19.76              70
          20.28              57
           20.8              67
          21.32              43
          21.84              61
          22.36              55
          22.88              51
           23.4              37
          23.92              35
          24.44              46
          24.96              40
          25.48              34
             26              33
          26.52              34
          27.04              35
          27.56              34
          28.08              31
           28.6              24
          29.12              33
          29.64              29
          30.16              30
          30.68              36
           31.2              24
          31.72              20
          32.24              27
          32.76              25
          33.28              29
           33.8              31
          34.32              25
          34.84              22
          35.36              18
          35.88              27
           36.4              20
          36.92              12
          37.44              13
          37.96              14
          38.48              25
             39              12
          39.52              15
          40.04              18
          40.56              16
          41.08              13
           41.6              18
          42.12              11
          42.64              13
          43.16              11
          43.68              12
           44.2              10
          44.72              17
          45.24              12
          45.76               9
          46.28               5
           46.8               7
          47.32               6
          47.84               5
          48.36               5
          48.88               1
           49.4               0
          49.92               0
          50.44               0
          50.96               0
          51.48               0
